,Billboard Hit Number,Songs,Artist,Genre,Gender,Lyrics,Year
537,38,"""Starting All Over Again""",Mel and Tim,Pop,Group,"Starting all over again is gonna be rough, so rough
But we're gonna make it
Starting all over as friends is gonna be rough, on us
But we gotta face it

We lost what we had, that's why it hurt so bad
It set us back a thousand years
We're gonna make it up, though it's gonna be rough
To erase all the hurt and tears

Starting all over again is gonna be hard
But I pray that the love will help us make it
Starting all over again is gonna be slow
But we both know that we can make it
We gotta take life as it comes
And never worry about who's right or wrong
It's an uphill climb to the finish line
We're gonna try to make it one more time

Starting all over again is gonna be rough, so rough
But we're gonna make it
Starting all over as friends is gonna be tough, on us
But we gotta face it

Starting all over again is gonna be hard
But I pray that the love will help us make it
Starting all over again is gonna be slow
We both know that we're gonna make itYou might also like
",1972
538,39,"""Day After Day""",Badfinger,Pop rock,Group,"
I remember findin' out about you
Every day, my mind is all around you
Lookin' out from my lonely room, day after day
Bring it home, baby, make it soon
I give my love to you
I remember holdin' you while you sleep
Every day I feel the tears that you weep
Lookin' out of my lonely gloom, day after day
Bring it home, baby, make it soon
I give my love to you

Lookin' out of my lonely room, day after day
Bring it home, baby, make it soon
I give my love to you
I remember findin' out about you
Every day my mind is all around you
Lookin' out of my lonely gloom, day after day
Bring it home, baby, make it soon
I give my love to youYou might also like1
",1972
539,40,"""Rocket Man""",Elton John,Soft rock,Male,"
These niggas know the deal, it's easy to get killed
Wet that pussy up, see now you got the chills
Your bright idea shooting at me, the fuck yeah
Bright idea, 'til I blew out his light bulb
I'm more than a hip hop legend, I'm iconic
My sixteen is strong as fuck, I'm bionic
Apparently...you a parody of real nigga shit
Pop your forehead like a zit
I don't fuck with no snitches so I need to know who telling
And I need to know who they told on so I can fact check it
The alpha and omega, Mobb nigga I'm a fixture
Black culture, bougie niggas get they bitch took
Like bad bitches get they body shook
From Jamaica Ave. to the boulevard in Hollywood
From the projects, Nam and Oslo
Rocketman Elton John, call me P-iano
Yeah now I'm on my shit, got me on my shit
I'll hit a nigga with the clipper
And fade a nigga real quick, see
Keep me on my shit, wiling on that shit
I will ruin your life, I promise you that shit
Swedish features through the window of a Lincoln on the Bell swerving
I felt certain I was born to be the best Earthling
Felt worthless, so many Xs and circles
On my mother neck I know I serve a purpose
Smoke the same shit that turns a normal turtle to a ninja turtle
Neo-ninja doing ? on Myrtle
The motherfucker making a drug look like Urkel
Foreign shooters like Türkoğlu
740 with the curtain and set to 1020 degrees
Eyes closed switching speeds, hitting the weave
I shapeshift to a disease, attack your lung and cripple your knees
R&b chicks are twisted with ease, blitzkrieg
You still posing for your little-league pictures
I'm drinking beer straight out the pitcher
I'll put your moms in an armbar at the bar-mitzvah
Irish linen on the king
I'm guaranteed I'm gonna win another ring
You might also like

I supercede that crap, now bitches want this hard shit
Niggas want this crack, them songs you got that's garbage
Paralyze your ears, stop talking, this P rapping
Been doing this for years, know money I keep racking, up
Come with it nigga, get beat the fuck, up
Next to me you're chuck meat
Yeah, we just committed suicide
With this swammi I get busy B; do or die
Big bar champion, the Henny and the rap flow
The great black shark, you just a little mackeral
My bitch appetite for power surpass yours
Now imagine my thoughts while I'm alone and you paused
That's 600 horses stomping on your neck strap
That's me, g-leaning with the pistol on my lap
Got a 3:00 your death, I could pencil you in
Ya'll niggas is chow, my gun fit to dig in
1
",1972
540,41,"""Rockin' Robin""",Michael Jackson,Rock and roll,Male,"
Tweedily-deedily-dee, tweedily-deedily-dee
Tweedily-deedily dee, tweedily-deedily-dee
Tweedily-deedily dee, tweedily-deedily-dee
Tweet, tweet, tweet, tweet
He rocks in the tree tops all day long
Hopping and a-bopping and singing his song
All the little birdies on Jaybird Street
Love to hear the robin go tweet, tweet, tweet
Rockin' robin, rock, rock
Rockin' robin
Blow, rockin' robin
'Cause we're really gonna rock tonight
Every little swallow, every chick-a-dee
Every little bird in the tall oak tree
The wise old owl, the big black crow
Flapping their wings singing, ""Go, bird, go""
Rockin' robin, rock, rock
Rockin' robin
Blow, rockin' robin
'Cause we're really going to rock tonight
Yeah, yeah!
Pretty little raven at the bird-band stand
Taught him how to do the bop and it was grand
They started going steady and bless my soul
He out-bopped the Buzzard and the Oriole
He rocks in the tree tops all day long
Hopping and a-bopping and singing his song
All the little birdies on Jaybird Street
Love to hear the robin go tweet, tweet, tweet
You might also like
Rockin' robin (Tweet, tweedily-dee), rock, rock
Rockin' robin (Tweet, tweedily-dee)
Blow, rockin' robin
'Cause we're really gonna rock tonight
Pretty little raven at the bird-band stand
Taught him how to do the bop and it was grand
They started going steady and bless my soul
He out-bopped the Buzzard and the Oriole
He rocks in the tree tops all day long
Hopping and a-bopping and singing his song
All the little birdies on Jaybird Street
Love to hear the robin go tweet, tweet, tweet
Rockin' robin (Tweet, tweedily-dee), rock, rock
Rockin' robin (Tweet, tweedily-dee)
Blow, rockin' robin
'Cause we're really gonna rock tonight
Tweedily-deedily-dee, tweedily-deedily-dee
Tweedily-deedily-dee, tweedily-deedily-dee
Tweedily-deedily-dee, tweedily-deedily-dee
Tweet, tweet4
",1972
541,42,"""Beautiful Sunday""",Daniel Boone,Pop rock,Male,"
Sunday morning, up with the lark
I think I'll take a walk in the park
Hey, hey, hey, it's a beautiful day

I've got someone waiting for me
And when I see her, I know that she'll say
Hey, hey, hey, it's a beautiful day
Hi, hi, hi, beautiful Sunday
This is my, my, my beautiful day
When you say, say, say, say that you love me
Oh my, my, my, it's a beautiful day
Birds are singing, you by my side
Let's take a car and go for a ride
Hey, hey, hey, it's a beautiful day

We'll drive on and follow the sun
Making Sunday go on and on
Hey, hey, hey, it's a beautiful day
Hi, hi, hi, beautiful Sunday
This is my, my, my beautiful day
When you say, say, say, say that you love me
Oh my, my, my, it's a beautiful day

Hi, hi, hi, beautiful Sunday
This is my, my, my beautiful day
When you say, say, say, say that you love me
Oh my, my, my, it's a beautiful day

Hi, hi, hi, beautiful Sunday
This is my, my, my beautiful day
When you say, say, say, say that you love me
Oh my, my, my, it's a beautiful dayYou might also like1
",1972
542,43,"""Scorpio""",Dennis Coffey,Soul,Male,"rumentalSong
",1972
543,44,"""Morning Has Broken""",Cat Stevens,Christian hymn (composer Martin Shaw),Male,"Morning has broken like the first morning
Blackbird has spoken like the first bird
Praise for the singing, praise for the morning
Praise for them springing fresh from the Word

Sweet the rain's new fall, sunlit from Heaven
Like the first dew fall on the first grass
Praise for the sweetness of the wet garden
Sprung in completeness where His feet pass

Mine is the sunlight, mine is the morning
Born of the One Light Eden saw play
Praise with elation, praise every morning
God's recreation of the new day
Morning has broken like the first morning
Blackbird has spoken like the first bird
Praise for the singing, praise for the morning
Praise for them springing fresh from the WordYou might also like1
",1972
544,45,"""City of New Orleans""",Arlo Guthrie,"Folk, Country",Male,"Riding on the City of New Orleans,
Illinois Central Monday morning rail
Fifteen cars and fifteen restless riders
Three conductors and twenty-five sacks of mail
All along the southbound odyssey
The train pulls out at Kankakee
Rolls along past houses, farms and fields
Passin' trains that have no names
Freight yards full of old black men
And the graveyards of the rusted automobiles
Good morning America how are you?
So Don't you know me I'm your native son
I'm the train they call The City of New Orleans
I'll be gone five hundred miles when the day is done

Dealin' cards with the old men in the club car
Penny a point ain't no one keepin' score
Won't you pass the paper bag that holds the bottle
Feel the wheels rumblin' 'neath the floor
And the sons of Pullman porters
And the sons of engineers
Ride their fathers' magic carpets made of steel
Mothers with their babes asleep
Are rockin' to the gentle beat
And the rhythm of the rails is all they feel

Good morning America how are you?
Don't you know me I'm your native son
I'm the train they call The City of New Orleans
I'll be gone five hundred miles when the day is done

Nighttime on The City of New Orleans
Changing cars in Memphis, Tennessee
Half way home, we'll be there by morning
Through the Mississippi darkness
Rolling down to the sea
And all the towns and people seem
To fade into a bad dream
And the steel rails still ain't heard the news
The conductor sings his songs again
The passengers will please refrain
This train's got the disappearing railroad blues
You might also likeGood night, America, how are you?
Don't you know me I'm your native son
I'm the train they call The City of New Orleans
I'll be gone five hundred miles when the day is done2
",1972
545,46,"""Garden Party""",Ricky Nelson,Country rock,Male,"
I went to a garden party to reminisce with my old friends
A chance to share old memories and play our songs again
When I got to the garden party, they all knew my name
No one recognized me, I didn't look the same
But it's all right now, I learned my lesson well
You see, ya can't please everyone, so ya got to please yourself
And people came from miles around, everyone was there
Yoko brought her walrus, there was magic in the air
An' over in the corner, much to my surprise
Mr. Hughes hid in Dylan's shoes wearing his disguise

Played them all the old songs, thought that's why they came
No one heard the music, we didn't look the same
I said, hello to ""Mary Lou"", she belongs to me
When I sang a song about a honky-tonk, it was time to leave

Someone opened up a closet door and out stepped Johnny B. Goode
Playing guitar like a-ringin' a bell and lookin' like he should
If you gotta play at garden parties, I wish you a lotta luck
But if memories were all I sang, I rather drive a truck
You might also like4
",1972
546,47,"""I Can See Clearly Now""",Johnny Nash,"Reggae, soul, R&B",Male,"
I can see clearly now the rain is gone
I can see all obstacles in my way
Gone are the dark clouds that had me blind
It's gonna be a bright, bright sun shiny day
It's gonna be a bright, bright sun shiny day
I think I can make it now the pain is gone
All of the bad feelings have disappeared
Here is that rainbow I've been praying for
It's gonna be a bright (Bright), bright sun shiny day
Look all around, there's nothing but blue skies
Look straight ahead, nothing but blue skies
I can see clearly now; the rain is gone
I can see all obstacles in my way
Gone are the dark clouds that had me blind
It's gonna be a bright, bright sun shiny day
It's gonna be a bright, bright sun shiny dayYou might also like10
",1972
547,48,"""Burning Love""",Elvis Presley,Rock,Male,"
Lord Almighty
I feel my temperature rising
Higher higher
It's burning through to my soul
Girl, girl, girl, girl
You're gonna set me on fire
My brain is flaming
I don't know which way to go
Your kisses lift me higher
Like a sweet song of a choir
You light my morning sky
With burning love
Ooh, ooh, ooh
I feel my temperature rising
Help me, I'm flaming
I must be a hundred and nine
Burning, burning, burning
And nothing can cool me
I just might turn into smoke
But I feel fine
'Cause your kisses lift me higher
Like a sweet song of a choir
And you light my morning sky
With burning love
It's coming closer
The flames are now licking my body
Won't you help me
I feel like I'm slipping away
It's hard to breathe
And my chest is a-heaving
Lord, have mercy
I'm burning a hole where I lay
You might also like
Your kisses lift me higher
Like the sweet song of a choir
You light my morning sky
With burning love
With burning love
(Ah, ah, burning love)
I'm just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love
Just a hunk, a hunk of burning love7
",1972
548,49,"""Clean Up Woman""",Betty Wright,"Soul, funk",Female,"
A clean up woman is a woman who
Gets all the love we girls leave behind
The reason I know so much about her
Is because she picked up a man of mine
Jumpin' slick was my ruin
'Cause, I found out all I was doin'
Was making it easy for the clean up woman
To get my man's love, oh yeah
Just making it easy for the clean up woman
To get my baby's love, uh-huh, mhm
I took this man's love and put it on a shelf
And like a fool I thought I had him all to myself
When you needed love I was out having fun
But I found out that all I had done
Was made it easy for the clean up woman
To get my man's love, uh-huh
Yeah, that's what I did, I made it easy for the clean up woman
To steal my baby's love, oh yeah
The clean up woman will wipe his blues away
She'll give him plenty lovin' 24 hours a day
The clean up woman, she'll sweep him off his feet
She's the one who'll take him in when you dump him in the street
So take a tip, you better get hip
To the clean up woman 'cause she's tough
I mean, she really cleans upYou might also like1
",1972
549,50,"""Hold Your Head Up""",Argent,"Hard rock, progressive rock",Group,"

And if it's bad
Don't let it get you down, you can take it
And if it hurts
Don't let them see you cry, you can make it
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman
Hold your head high
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman
Hold your head high

And if they stare
Just let them burn their eyes on you moving
And if they shout
Don't let it change a thing that you're doing
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman
Hold your head high
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman
Hold your head high


Hold your head up
Hold your head up
Hold your head up
Hold your head up
Hold your head up
Hold your head up
Hold your head up
Hold your head up
Hold your head up
Hold your head up
Hold your head up
Hold your head up
Hold your head up
You might also like
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman
Hold your head high
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman
Hold your head high
And if they stare
Just let them burn their eyes on you moving
And if they shout
Don't let it change a thing that you're doing
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman
Hold your head up, woman3
",1972
550,51,"""Jungle Fever""",The Chakachas,Funkproto-disco,Group,"rumentalSong
",1972
551,52,"""Everything I Own""",Bread,Soft rock,Group,"
You sheltered me from harm
Kept me warm, kept me warm
You gave my life to me
Set me free, set me free
The finest years I ever knew
Were all the years I had with you
And I would give anything I own
Would give up my life, my heart, my home
I would give everything I own
Just to have you back again
You taught me how to love
What it's of, what it's of
You never said too much
But still you showed the way
And I knew from watching you
Nobody else could ever know
The part of me that can't let go
And I would give anything I own
Would give up my life, my heart, my home
I would give everything I own
Just to have you back again
Is there someone you know
You're loving them so
But taking them all for granted?
You may lose them one day
Someone takes them away
And they don't hear the words
You long to say
You might also like
I would give anything I own
Would give up my life, my heart, my home
I would give everything I own
Just to have you back again
Just to touch you once again6
",1972
552,53,"""In the Rain""",The Dramatics,Soul,Group,"
I wanna go outside in the rain
It may sound crazy but I
Wanna go outside in the rain
'Cause I, I think I'm gonna cry
And I, I don't want you to see me cry
I wanna go outside in the rain
It may sound crazy but I
Wanna go outside in the rain
Once the rain starts falling on my face
You won't see a single trace
Of the tears I'm crying, because of you, I'm crying
Don't want you to see me cry, let me go, let me go, let me go
(In the rain)
Once the sun comes out and the rain has gone away
I know I'm gonna see a better day
Right now, I think I'm crying, because of you, I'm crying
Don't want you to see me cry, let me go, let me go, let me go
I wanna go outside in the rain
It may sound crazy but I
Wanna go outside in the rain
I wanna go outside, I wanna go outside, I wanna go outsideYou might also like2
",1972
553,54,"""Look What You Done for Me""",Al Green,Soul,Male,"
Hey baby
Now that you're here with me
I want to keep you free
To do the things that you wanna do
The joy in life is loving you
But now the day has come
To let you know where I'm coming from, yeah
The best of my years will go to you
It's the only thing that I can do
But these things don't come overnight
Loving you, baby, and I think I'm right
Let me say before I forget
That loving you, baby, it's where it's at, yeah
And oh baby, look what you done for me
Oh baby, you set my heart free, yeah
Oh, what a feeling, yeah, yeah, yeah, yeah
What a feeling, yeah
Sometimes I wanna leave, but then I say
It wouldn't make sense, no, anyway
But forgive me baby, if I do wrong
I haven't been a true man for so long
But let me say before I forget
That loving you, baby, it's where it's at, yeah
And oh baby, look what you done for me
Oh baby, you set my heart free, hey
Bread and the water, everything that you oughta
You've been very good for me
And I, I gotta, gotta to say it
Oh baby, look what you done for me
Oh yeah, you set my heart free, hey
Oh, know no better what you done for me
I got this feeling that it's gonna—hey
And oh, look what you done for me
Baby, baby, you've set my heart free every dayYou might also like
",1972
554,55,"""The Happiest Girl in the Whole U.S.A.""",Donna Fargo,"Country, Pop",Female,"2007Williamsburg Live Songwriting Contest
Unknown Venue2008The Living Room2009Arlene’s Grocery
Unknown Venue in New York2010MTV Unplugged (Above and Beyond) — with Mando Diao.
The Variety Box2011Gebäude 9
Later with Jules Holland
Le Grand France
Mulberry Spring/Summer Dinner
The Premises
The Scalla Club2012American Idol
BBC Radio 1 Hackney Weekend
BBC Radio 1 Live Lounge
Buenas noches y Buenafuente (Spain)
C à vous (Netherlands)
Eurockéennes de Belfort Festival
iTunes Festival
Jimmy Kimmel Live!
Langs de Leeuw (Netherlands)
Late Night with David Letterman
Later With Jools Holland
Live at Concert Privé
Live at KCSN
Live at KFOG
NPR's World Cafe
Saturday Night Live
Splendour in the Grass
The Jonathan Ross Show
The Voice UK2013Amoeba
Planeta Terra Argentina
Planeta Terra Brasil2014Bråvalla Festival
Glastonbury Festival
Live at L'Olympia Bruno Coquatri2015BBC Radio One Live Lounge2017Live at BBC Radio 1's Big Weekend2018Apple Event
Live at Lollapalooza Chile
Live at Lollapalooza Brasil
The Ally Coalition 5th Annual Talent Show2019BBC Radio One Live Lounge
The NFR! Tour: Live in Sacramento Memorial Auditorium2020Instagram Live
Late Night with Jimmy Fallon
The Ally Coalition 7th Annual Talent Show2021The Late Show with Stephen Colbert2022Sam’s Town Point — with Nikki Lane.Live Only Tracksbreak up with your girlfriend, i’m bored (Ariana Grande cover) — Radio One’s Live Lounge, 2019.Chet Baker (Mando Diao, MTV Unplugged, 2010)Gloria (Mando Diao, MTV Unplugged, 2010)Goodbye Kiss (Kasabian cover) — Radio One’s Live Lounge, 2012.Heart-Shaped Box (Nirvana cover)Hey Blue Baby — The Ally Coilition, 2018.I Must Be Stupid for Being Happy — The Ally Coilition, 2018.Silent Night — The Ally Coalition Talent Show, 2020.Prettiest Girl In Country Music — with Nikki Lane, performed at Sam’s Town Point, 2022.The Happiest Girl In The Whole U.S.A. (Donna Fargo cover)
",1972
555,56,"""Bang a Gong (Get it On)""",T. Rex,Glam rock,Group,"
Well, you're dirty and sweet
Clad in black, don't look back, and I love you
You're dirty and sweet, oh yeah
Well, you're slim and you're weak
You've got the teeth of the hydra upon you
You're dirty sweet and you're my girl
Get it on, bang a gong, get it on
Get it on, bang a gong, get it on
Well, you're built like a car
You've got a hub cap diamond star halo
You're built like a car, oh yeah
Well, you're an untamed youth
That's the truth, with your cloak full of eagles
You're dirty sweet, and you're my girl
Get it on, bang a gong, get it on
Get it on, bang a gong, get it on (Oh)
Well, you're windy and wild
You've got the blues in your shoes and your stockings
You're windy and wild, oh yeah
Well, you're built like a car
You've got a hub cap diamond star halo
You're dirty sweet and you're my girl
Get it on, bang a gong, get it on
Get it on, bang a gong, get it on
Well, you're dirty and sweet
Clad in black, don't look back, and I love you
You're dirty and sweet, oh yeah
Well, you dance when you walk
So let's dance, take a chance, understand me
You're dirty sweet and you're my girl
You might also like
Get it on, bang a gong, get it on
Get it on, bang a gong, get it on (Ow)
Get it on, bang a gong, get it on (Ow, get it on)
Get it on, bang a gong, get it on
Get it on, bang a gong, get it on
Get it on, bang a gong, get it on
Get it on, bang a gong, get it on
Take me
For a meanwhile, I'm still thinking
",1972
556,57,"""Mother and Child Reunion""",Paul Simon,Pop rock,Male,"
No, I would not give you false hope
On this strange and mournful day
But the mother and child reunion
Is only a motion away
Oh, little darling of mine
I can't for the life of me
Remember a sadder day
I know they say let it be
But it just don't work out that way
And the course of a lifetime runs
Over and over again
No, I would not give you false hope
On this strange and mournful day
But the mother and child reunion
Is only a motion away
Oh, little darling of mine
I just can't believe it's so
Though it seems strange to say
I never been laid so low
In such a mysterious way
And the course of a lifetime runs
Over and over again
But I would not give you false hope (No)
On this strange and mournful day
When the mother and child reunion
Is only a motion away
Oh, the mother and child reunion is only a motion away
Oh, the mother and child reunion is only a moment away (Oh)
Oh, the mother and child reunion is only a motion away
Oh, the mother and child reunion is only a moment away (Oh)
Oh, the mother and child reunion, oh, is only a motion away
Oh, the mother and child reunion is only a moment away, way, way, wayYou might also like3
",1972
557,58,"""Where Is the Love""",Roberta Flack & Donny Hathaway,Soul,Female,"
Where is the love? (Where is the love?)
Where is the love? (Where is the love?)
Where is the love? (Where is all your love?)
Where is the love?
Where is the love
You said you'd give to me soon as you were free?
Will it ever be?
Where is the love?
You told me that you didn't love him
And you were gonna say goodbye
But if you really didn't mean it
Why did you have to lie?
Where is the love
You said was mine all mine, 'til the end of time?
Was it just a lie?
Where is the love?
If you had had a sudden change of heart
I wish that you would tell me so
Don't leave me hangin' on the promises
You've got to let me know

Oh, how I wish I never met you
I guess it must have been my fate
To fall in love with someone else's love
All I can do is wait
Wait (That's all I can do, yeah, yeah, yeah)
Where is the love? (Where is the love?)
Where is the love? (Where is the love?)
Where is the love? (Where is all the love?)
Where is the love? (Where is the love?)
Where is the love? (Where is the love?)
Where is the love? (Where is the love?)
Where is the love? (Where is all the love?)
Where is the love? (Where is the love?)
Where is the love? (Where is the love?)You might also like
",1972
558,59,"""I'm Still in Love with You""",Al Green,Soul,Male,"
Spending my day, thinking 'bout you, girl
Being here with you, being near with you
I can't explain myself
Why I feel like I do (Like I do)
Though it hurt me so to let you know
That I look in your eyes
To let me know how you feel
Let me know that love is really real
Well, it seems to me
That I'm wrapped up in your love
Don't you know that I'm still in love
(Still in love, in love with you)
Sho'nuff in love with you, yeah, hey

Heaven knows that I'm still in love
(Still in love, in love with you)
Sho'nuff in love with you, hey
Hey, when I look in your eyes
And all, all the years I see (I see)
Me lovin' you and you lovin' me
Well, it seems to me
That I'm wrapped up in your love
Don't you know that I'm still in love
(Still in love, in love with you)
Sho'nuff in love with you
Hey, ah-ha, ah-ah-ah, ah-ha
Ah-ha
Don't you know that I'm still in love
(Still in love, in love with you)
Sho'nuff in love with you
You might also like
Hey, I'll try it if you want me to
(Still in love, in love with you)
Ah-ha, ah-ha, ah, ah-ah-ah, ah-ha
Ah-ha3
",1972
559,60,"""Layla""",Derek and the Dominos,Rock,Group,"

What'll you do when you get lonely
And nobody's waiting by your side?
You've been runnin' and hidin' much too long
You know it's just your foolish pride
Layla
You've got me on my knees
Layla
I'm begging, darling, please
Layla
Darling, won't you ease my worried mind?
I tried to give you consolation
When your old man had let you down
Like a fool, I fell in love with you
It turned my whole world upside down
Layla
You've got me on my knees
Layla
I'm begging, darling, please
Layla
Darling, won't you ease my worried mind?
So make the best of the situation
Before I finally go insane
Please, don't say we'll never find a way
And tell me all my love's in vain
Layla
You've got me on my knees
Layla
I'm begging, darling, please
Layla
Darling, won't you ease my worried mind?
Layla, you've got me on my knees
Layla
I'm begging, darling, please
Layla
Darling, won't you ease my worried mind?
You might also like


16
",1972
560,61,"""Day Dreaming""",Aretha Franklin,Soul,Female,"
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Look at my mind floating away
He's the kind of guy that would say
Hey, baby, let's get away
Let's go some place, huh
Where, I don't care
He's the kind of guy that you give your everything
You trust your heart, share all of your love
'Til death do you part
I want to be what he wants
When he wants it and whenever he needs it
And when he's lonesome and feeling love starved
I'll be there to feed it
I'm loving him a little bit more each day
Turns me right on when I hear him say
Hey, baby, let's get away
Let's go somewhere far
Baby, can we
Where, I don't care
Hey, baby, let's get away
Let's go somewhere far
Baby, can we
Where, I don't care
I want to be what he wants when he wants it
And whenever he needs it
And when he's lonesome and feeling love starved
I'll be there to feed it
Loving him a little bit more each day
It turns me right on when I hear him say
Hey, baby, let's get away
Let's go somewhere far
Baby, can we
Where, I don't care
Hey, baby, let's get away
Let's go somewhere far
Baby, can we
Where, I don't care
You might also like
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Daydreaming and I'm thinking of you
Look at my love floating away
Daydreaming (Thinking of you)
Daydreaming (Thinking of you)
Daydreaming
Daydreaming
Day—
",1972
561,62,"""The Way of Love""",Cher,"chanson, pop",Female,"When you meet a boy
That you like a lot
And you fall in love
But he loves you not

If a flame should start
As you hold him near
Better keep your heart
Out of danger, dear

For the way of love
Is a way of woe
And the day may come
When you'll see him go
Then what will ya do
When he sets you free
Just the way that you
Said goodbye to me

When you meet a boy
That you like a lot
And you fall in love
But he loves you not

If a flame should start
As you hold him near
Better keep your heart
Out of danger, dear

For the way of love
Is a way of woe
And the day may come
When you'll see him go

Then what will ya do
When he sets you free
Just the way that you
Said goodbye to me

That's the way of love
The way of loveYou might also like1
",1972
562,63,"""Black and White""",Three Dog Night,Pop,Group,"rumentalSong
",1972
563,64,"""Sylvia's Mother""",Dr. Hook & the Medicine Show,"Country rock, pop",Group,"
Sylvia's mother says ""Sylvia's busy
Too busy to come to the phone""
Sylvia's mother says ""Sylvia's trying
To start a new life of her own""
Sylvia's mother says ""Sylvia's happy
So why don't you leave her alone?""
And the operator says ""forty cents more
For the next three minutes""
Please, Mrs. Avery, I just gotta talk to her
I'll only keep her a while
Please, Mrs. Avery, I just want to tell her goodbye
Sylvia's mother says Sylvia's packing
She's gonna be leaving today
Sylvia's mother says Sylvia's marrying
A fella down Galveston way
Sylvia's mother says please don't say nothing
To make her start crying and stay
And the operator says forty cents more
For the next three minutes
Please, Mrs. Avery, I just gotta talk to her
I'll only keep her a while
Please, Mrs. Avery, I just want to tell her goodbye
Sylvia's mother says Sylvia's hurrying
She's catching the nine o'clock train
Sylvia's mother says take your umbrella
'Cause, Sylvie, it's starting to rain
And Sylvia's mother says thank you for calling
And, sir, won't you call back again?
And the operator says forty cents more
For the next three minutes
Please, Mrs. Avery, I just gotta talk to her
I'll only keep her a while
Please, Mrs. Avery, I just want to tell her goodbye
Tell her goodbye
Please, tell her goodbyeYou might also like1
",1972
